shared name;PRJEB41560;PRJNA182108;PRJNA419791;PRJNA427493;PRJNA549834;PRJNA590281;PRJNA590595;PRJNA598295;PRJNA628529;PRJNA684430;PRJNA776107;PRJNA854329;PRJNA882367;PRJNA885747;PRJNA937025;PRJNA975299
AGO1;-0.089628103;1.877074907;-0.623698399;-1.354805342;-2.059919839;-0.836899505;1.875245826;-1.708138921;5.024079407;-2.059919839;-0.93025393;-3.493022731;-0.475279252;0.279627191;-1.985523185;3.399114275
AGO4;0.106806304;0.56560366;-0.187470076;-0.600264799;0.381510404;-1.136412443;-0.490424133;0.164539605;-1.236307689;0.381510404;-0.778173059;1.022453541;-1.088639114;0.237406373;-0.232029934;0.367918935
