PATHWAY;FREQUENCY;GENES
ath00270;49;"1.13.11.53;1.2.1.11;1A16;2.1.1.10;2.1.1.14;2.3.1.30;2.5.1.144;2.5.1.16;2.5.1.47;2.5.1.48;2.5.1.6;2.6.1.42;2.6.1.44;2.6.1.5;2.7.1.100;3.2.2.16;3.3.1.1;4.1.1.50;4.2.1.109;4.4.1.13;5.3.1.23;6.3.2.3;AAT3;ACCO4;AK1;CMT3;DCYD1;GSH1;LCYD1;MDHM1;R00590;R00657;R00863;R00900;R00903;R00997;R01113;R01292;R02025;R02408;R04860;R05693;R07137;R07274;R07396;R07633;R07634;R10305;R12092"
ath00860;45;"1.14.13.81;1.16.3.1;1.17.7.2;1.2.1.70;1.3.1.33;1.3.3.3;1.3.3.4;1.3.7.4;2.1.1.107;2.5.1.141;2.5.1.62;4.1.1.37;4.2.1.24;4.2.1.75;4.99.1.10;4.99.1.4;5.4.3.8;6.1.1.17;CAO;CHLH;CLH1;HEM3;HEMH2;HMOX1;NYC1;PAO;R00107;R02271;R02394;R02480;R06268;R06269;R06270;R06282;R06530;R06531;R06895;R07268;R07302;R09489;R09491;R11519;R11816;R11817;RCCR"
ath00260;43;"1.1.1.95;1.14.15.7;1.2.1.11;1.4.3.21;1.4.4.2;1.5.3.1;1.8.1.4;2.1.2.10;2.6.1.44;2.7.1.31;3.1.3.3;4.1.2.48;4.2.3.1;4.3.1.19;5.1.1.18;5.4.2.11;5.4.2.12;AK1;BADH2;GGT2;GLYM1;HPR1;KHSE;R00221;R00366;R00367;R00371;R00611;R00891;R01025;R01465;R01511;R02529;R03759;R07244;R07650;R08050;R08211;R08557;R10060;R10061;R10851;TRPA2"
ath00909;43;"1.14.14.17;2.5.1.21;4.2.1.128;4.2.3.104;5.4.99.38;R02306;R03264;R06471;R07322;R07648;R08374;R08542;R08545;R08691;R08695;R08851;R08852;R09573;R09574;R09608;R09616;R09618;R09619;R09623;R09624;R09625;R09626;R09629;R09689;R09710;R09711;R09712;R09835;R09886;R09889;R09890;R09896;R09907;R09908;R09914;R10273;R10598;R10599"
ath00380;42;"1.2.1.3;1.2.3.7;1.2.4.2;2.1.1.4;2.3.1.87;2.3.1.9;3.5.1.4;4.1.1.28;C71AD;C79B2;CATA2;R00673;R00679;R00681;R00684;R00983;R00988;R01816;R01971;R01973;R02173;R02174;R02338;R02670;R02679;R02680;R02700;R02702;R02909;R02910;R03628;R03629;R03887;R03936;R04020;R04171;R04904;R04908;R04911;R09517;TAR2;YUC4"
ath00350;41;"1.13.11.27;1.13.11.5;1.4.3.21;2.6.1.5;2.6.1.9;3.7.1.2;3.7.1.5;4.1.1.28;5.2.1.2;AAT3;ADH1;R00042;R00728;R00739;R01647;R01815;R02075;R02076;R02077;R02382;R02384;R02489;R02514;R02657;R02695;R02698;R03299;R03303;R03306;R03373;R03374;R04304;R04379;R04380;R04418;R04598;R04600;R08846;R08920;R11257;R11916"
ath00640;41;"1.2.1.18;1.2.4.4;1.3.8.7;1.8.1.4;2.3.1.168;2.3.1.9;4.1.1.9;6.2.1.4;6.4.1.2;ACS;HIBC1;R00353;R00409;R00908;R00920;R00923;R00926;R00928;R00930;R00931;R01016;R01199;R01354;R01359;R01550;R01611;R02257;R02260;R02376;R02377;R02764;R03046;R04424;R04425;R06987;R10161;R10702;R10704;R10715;R10717;R11263"
ath00920;40;"1.13.11.18;1.8.7.1;2.3.1.30;2.5.1.47;2.5.1.48;2.7.1.25;2.8.1.1;3.1.3.7;APS2;R00507;R00531;R00861;R01283;R01851;R01930;R02574;R05072;R05320;R07177;R07210;R07365;R09498;R09499;R09500;R09501;R09513;R09786;R09997;R10149;R10152;R10203;R10206;R10333;R10390;R10820;R10936;R11487;R11546;R11929;SUOX"
ath00310;40;"1.2.1.3;1.2.1.31;1.2.4.2;1.5.1.8;2.1.1.60;2.3.1.61;2.3.1.9;R00448;R00449;R00452;R00458;R00460;R00461;R01365;R01620;R02205;R02273;R02274;R02276;R02315;R02397;R02401;R02402;R02851;R02852;R03030;R03168;R03275;R03283;R03349;R03875;R04029;R04174;R04687;R04866;R04867;R10090;R10091;R10564;SUVH2"
ath00760;40;"1.4.3.16;2.7.1.23;2.7.7.1;3.1.3.5;3.2.2.3;3.6.1.22;6.3.4.21;6.3.5.1;NADC;R00112;R00119;R00137;R00714;R01087;R01270;R01273;R01355;R01720;R01721;R02322;R03005;R03069;R03070;R03164;R03540;R03908;R04130;R07221;R07410;R07514;R07515;R07984;R07985;R08764;R09125;R09126;R09472;R09473;R10101;R10102"
ath00010;37;"1.1.1.2;1.2.1.12;1.2.1.3;1.2.1.9;1.8.1.4;2.3.1.12;2.7.1.11;2.7.1.40;2.7.1.90;3.1.3.11;4.1.1.1;4.1.2.13;4.2.1.11;5.1.3.15;5.1.3.3;5.3.1.1;5.4.2.11;5.4.2.12;5.4.2.2;ACS;ADH1;G6PI;HXK1;ODPB1;PCKA;PGKH2;R00711;R00947;R02187;R05133;R05134;R05198;R07159;R09085;R09086;R09127;R09479"
ath00480;35;"1.1.1.44;1.1.1.49;1.11.1.9;1.8.5.1;2.3.2.2;2.5.1.16;3.4.11.1;3.4.11.2;3.5.2.9;4.3.2.9;6.3.2.3;APX1;GSH1;GSHRC;GSTF9;ICDHC;R00120;R01109;R01110;R01111;R01875;R01918;R02034;R02742;R03167;R03915;R04039;R04950;R04951;R08352;R08353;R08354;R08355;R08362;RIR1"
ath00650;34;"1.1.1.157;1.2.1.24;2.3.1.9;2.3.3.10;2.6.1.96;4.1.1.15;4.1.3.4;ILVB;R00048;R00212;R00215;R00410;R01172;R01175;R01179;R01196;R01357;R01358;R01367;R01977;R02419;R02855;R02946;R02949;R03027;R03028;R03031;R03276;R03534;R03707;R04000;R05118;R09078;R09738"
ath00040;34;"1.1.1.2;1.1.1.22;2.7.1.17;2.7.1.43;2.7.1.47;2.7.7.64;2.7.7.9;3.2.1.15;3.2.1.67;5.1.3.1;5.3.1.5;DHSO;PLY13;PME44;R01429;R01430;R01525;R01542;R01782;R01785;R01892;R01898;R01901;R01902;R02361;R02429;R02441;R04382;R04383;R05831;R07143;R07144;R07152;R09186"
ath00562;34;"1.13.99.1;1.2.1.18;2.7.1.137;2.7.1.140;2.7.1.150;2.7.1.159;2.7.1.64;2.7.1.68;2.7.8.11;3.1.3.25;3.1.3.62;3.1.4.3;5.3.1.1;INO2;IPPK;MYTM1;P4KB1;PLCD2;R01188;R01189;R03332;R03371;R03372;R03479;R04404;R04545;R05800;R05801;R09669;R09670;R09951;R09952;R09953;R09954"
ath00944;34;"1.14.14.82;2.4.1.91;R02157;R02159;R02632;R02633;R03289;R03456;R03571;R03574;R03587;R03588;R03589;R04526;R04618;R05323;R06797;R06804;R06805;R06806;R06807;R06808;R06809;R06811;R06812;R06813;R06814;R06815;R06816;R06826;R06827;R06828;R06829;R08127"
ath00250;33;"1.2.1.24;1.2.1.88;1.4.1.14;1.4.1.3;1.4.1.4;1.4.3.16;2.1.3.2;2.6.1.16;2.6.1.2;2.6.1.44;2.6.1.96;3.5.1.3;4.1.1.15;4.3.2.1;4.3.2.2;6.3.1.2;6.3.4.4;6.3.4.5;6.3.5.4;6.3.5.5;AAT3;ASE2;R00256;R00269;R00359;R00400;R00484;R00488;R00491;R00576;R01346;R10687;R10688"
ath00999;33;"1.23.1.1;R00982;R02305;R07251;R09684;R09714;R09814;R10160;R10171;R10176;R10278;R10461;R10466;R10469;R10470;R10488;R10519;R10547;R10673;R10698;R10720;R10791;R10792;R10794;R10934;R11065;R11126;R11187;R11445;R11961;R11962;R11963;R12101"
